"ind.row"	"ind.col"	"rnm"	"cnm"
"99"	122	16	"CAUL STAT3"	"BAZAN HCU HCU Stat"
"100"	123	16	"D.CARMEL ITemp"	"BAZAN HCU HCU Stat"
"101"	125	16	"D.CARMEL RH"	"BAZAN HCU HCU Stat"
"102"	127	16	"D.CARMEL StWd"	"BAZAN HCU HCU Stat"
"103"	128	16	"D.CARMEL TEMP"	"BAZAN HCU HCU Stat"
"104"	129	16	"D.CARMEL WDD"	"BAZAN HCU HCU Stat"
"105"	130	16	"D.CARMEL WDS"	"BAZAN HCU HCU Stat"
"106"	144	16	"Flares NEWFF"	"BAZAN HCU HCU Stat"
"107"	145	16	"Flares OLDFF"	"BAZAN HCU HCU Stat"
"108"	147	16	"GADIV CTO Status"	"BAZAN HCU HCU Stat"
"109"	153	16	"GADIV_OPER PRX-start"	"BAZAN HCU HCU Stat"
"110"	154	16	"GADIV_OPER SPL_start"	"BAZAN HCU HCU Stat"
"111"	155	16	"GADIV_OPER TOL-start"	"BAZAN HCU HCU Stat"
"112"	156	16	"GADIV_OPER XYL-start"	"BAZAN HCU HCU Stat"
"113"	158	16	"Gadiv-AS2XYL1 NOX INS"	"BAZAN HCU HCU Stat"
"114"	160	16	"Gadiv-PAREX NOX INS"	"BAZAN HCU HCU Stat"
"115"	162	16	"Gadiv-TOL NOX INS"	"BAZAN HCU HCU Stat"
"116"	164	16	"Gadiv-XYl2 NOX INS"	"BAZAN HCU HCU Stat"
"117"	280	16	"mahzam 30 WIND-DIR"	"BAZAN HCU HCU Stat"
"118"	281	16	"mahzam 30 WIND-V6"	"BAZAN HCU HCU Stat"
"119"	287	16	"mahzam 40 WIND-DIR"	"BAZAN HCU HCU Stat"
"120"	288	16	"mahzam 40 WIND-V6"	"BAZAN HCU HCU Stat"
"121"	331	16	"Neve Yosef ITemp"	"BAZAN HCU HCU Stat"
"122"	337	16	"Neve Yosef TEMP"	"BAZAN HCU HCU Stat"
"123"	338	16	"Neve Yosef WDD"	"BAZAN HCU HCU Stat"
"124"	340	16	"OP-BZN1 B201B CU3"	"BAZAN HCU HCU Stat"
"125"	341	16	"OP-BZN1 cu1 B4"	"BAZAN HCU HCU Stat"
"126"	344	16	"OP-BZN1 Opa21"	"BAZAN HCU HCU Stat"
"127"	347	16	"OP-BZN1 OpaC4"	"BAZAN HCU HCU Stat"
"128"	349	16	"OP-BZN1 OpaFC"	"BAZAN HCU HCU Stat"
