date	year	month	day	day_of_week	day_of_year	station	sensor	value	threshold
20160803	2016	8	3	3	216	Bazan-CU3	NOx Dry	122.6	100
20140806	2014	8	6	3	218	Bazan-CU3	NOx Dry	109.6	100
20150801	2015	8	1	6	213	Bazan-CU3	NOx Dry	100.1	100
20160808	2016	8	8	1	221	Bazan-CU3	NOx Dry	138.2	100
20140715	2014	7	15	2	196	Bazan-CU3	NOx Dry	107.3	100
20160101	2016	1	1	5	1	Bazan-CU3	NOx Dry	124.2	100
20141019	2014	10	19	7	292	Bazan-CU3	NOx Dry	114.3	100
20160605	2016	6	5	7	157	Bazan-CU3	NOx Dry	115.4	100
20170108	2017	1	8	7	8	Bazan-CU3	NOx Dry	130.7	100
20140203	2014	2	3	1	34	Bazan-CU3	NOx Dry	126.9	100
20140913	2014	9	13	6	256	Bazan-CU3	NOx Dry	120.4	100
20151109	2015	11	9	1	313	Bazan-CU3	NOx Dry	118.8	100
20150106	2015	1	6	2	6	Bazan-CU3	NOx Dry	126.7	100
20140527	2014	5	27	2	147	Bazan-CU3	NOx Dry	115.0	100
20161025	2016	10	25	2	299	Bazan-CU3	NOx Dry	139.1	100
20151110	2015	11	10	2	314	Bazan-CU3	NOx Dry	125.2	100
20150225	2015	2	25	3	56	Bazan-CU3	NOx Dry	101.5	100
20160228	2016	2	28	7	59	Bazan-CU3	NOx Dry	118.9	100
20141105	2014	11	5	3	309	Bazan-CU3	NOx Dry	129.4	100
20160913	2016	9	13	2	257	Bazan-CU3	NOx Dry	129.1	100
20140325	2014	3	25	2	84	Bazan-CU3	NOx Dry	112.9	100
20160416	2016	4	16	6	107	Bazan-CU3	NOx Dry	136.4	100
20140214	2014	2	14	5	45	Bazan-CU3	NOx Dry	112.7	100
20160520	2016	5	20	5	141	Bazan-CU3	NOx Dry	131.9	100
20140908	2014	9	8	1	251	Bazan-CU3	NOx Dry	124.8	100
20160721	2016	7	21	4	203	Bazan-CU3	NOx Dry	115.5	100
20140207	2014	2	7	5	38	Bazan-CU3	NOx Dry	137.8	100
20131217	2013	12	17	2	351	Bazan-CU3	NOx Dry	135.9	100
20160107	2016	1	7	4	7	Bazan-CU3	NOx Dry	112.2	100
20160818	2016	8	18	4	231	Bazan-CU3	NOx Dry	146.4	100
20141231	2014	12	31	3	365	Bazan-CU3	NOx Dry	124.3	100
20151224	2015	12	24	4	358	Bazan-CU3	NOx Dry	132.4	100
20160222	2016	2	22	1	53	Bazan-CU3	NOx Dry	115.5	100
20151128	2015	11	28	6	332	Bazan-CU3	NOx Dry	145.1	100
20161019	2016	10	19	3	293	Bazan-CU3	NOx Dry	142.2	100
20160304	2016	3	4	5	64	Bazan-CU3	NOx Dry	127.3	100
20150430	2015	4	30	4	120	Bazan-CU3	NOx Dry	117.7	100
20131119	2013	11	19	2	323	Bazan-CU3	NOx Dry	140.8	100
20140303	2014	3	3	1	62	Bazan-CU3	NOx Dry	100.3	100
20140526	2014	5	26	1	146	Bazan-CU3	NOx Dry	113.6	100
20151104	2015	11	4	3	308	Bazan-CU3	NOx Dry	123.5	100
20131125	2013	11	25	1	329	Bazan-CU3	NOx Dry	130.4	100
20160821	2016	8	21	7	234	Bazan-CU3	NOx Dry	145.2	100
20150319	2015	3	19	4	78	Bazan-CU3	NOx Dry	123.4	100
20140504	2014	5	4	7	124	Bazan-CU3	NOx Dry	105.9	100
20140228	2014	2	28	5	59	Bazan-CU3	NOx Dry	105.6	100
20131105	2013	11	5	2	309	Bazan-CU3	NOx Dry	141.8	100
20161104	2016	11	4	5	309	Bazan-CU3	NOx Dry	144.0	100
20160205	2016	2	5	5	36	Bazan-CU3	NOx Dry	132.1	100
20150301	2015	3	1	7	60	Bazan-CU3	NOx Dry	108.4	100
20150426	2015	4	26	7	116	Bazan-CU3	NOx Dry	109.1	100
20151001	2015	10	1	4	274	Bazan-CU3	NOx Dry	105.4	100
20141110	2014	11	10	1	314	Bazan-CU3	NOx Dry	129.8	100
20140302	2014	3	2	7	61	Bazan-CU3	NOx Dry	113.6	100
20131207	2013	12	7	6	341	Bazan-CU3	NOx Dry	125.6	100
20161216	2016	12	16	5	351	Bazan-CU3	NOx Dry	162.3	100
20161003	2016	10	3	1	277	Bazan-CU3	NOx Dry	154.5	100
20160418	2016	4	18	1	109	Bazan-CU3	NOx Dry	117.0	100
20160117	2016	1	17	7	17	Bazan-CU3	NOx Dry	111.7	100
20160427	2016	4	27	3	118	Bazan-CU3	NOx Dry	132.0	100
20141025	2014	10	25	6	298	Bazan-CU3	NOx Dry	113.5	100
20140123	2014	1	23	4	23	Bazan-CU3	NOx Dry	121.2	100
20140620	2014	6	20	5	171	Bazan-CU3	NOx Dry	110.9	100
20160920	2016	9	20	2	264	Bazan-CU3	NOx Dry	119.7	100
20141014	2014	10	14	2	287	Bazan-CU3	NOx Dry	120.3	100
20131124	2013	11	24	7	328	Bazan-CU3	NOx Dry	145.4	100
20141118	2014	11	18	2	322	Bazan-CU3	NOx Dry	112.5	100
20150419	2015	4	19	7	109	Bazan-CU3	NOx Dry	110.9	100
20161015	2016	10	15	6	289	Bazan-CU3	NOx Dry	160.5	100
20161115	2016	11	15	2	320	Bazan-CU3	NOx Dry	132.1	100
20141007	2014	10	7	2	280	Bazan-CU3	NOx Dry	109.4	100
