Delek TOC 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam StWd 247078 Sun Oct 23 00:00:00 2016
Kiryat Yam StWd 465886 Thu Oct 20 11:00:00 2016
Kiryat Yam StWd 160777 Mon Oct 24 00:00:00 2016
Kiryat Yam StWd 451486 Thu Oct 20 15:00:00 2016
Kiryat Yam StWd 121229 Mon Oct 24 11:00:00 2016
Kiryat Yam StWd 196777 Sun Oct 23 14:00:00 2016
Kiryat Yam StWd 171577 Sun Oct 23 21:00:00 2016
Kiryat Yam StWd 254278 Sat Oct 22 22:00:00 2016
Kiryat Yam StWd 225577 Sun Oct 23 06:00:00 2016
Kiryat Yam StWd 236377 Sun Oct 23 03:00:00 2016
Kiryat Yam StWd 311878 Sat Oct 22 06:00:00 2016
Kiryat Yam StWd 415486 Fri Oct 21 01:00:00 2016
Kiryat Yam StWd 218377 Sun Oct 23 08:00:00 2016
Kiryat Yam StWd 304678 Sat Oct 22 08:00:00 2016
Kiryat Yam StWd 128429 Mon Oct 24 09:00:00 2016
Kiryat Yam StWd 211177 Sun Oct 23 10:00:00 2016
Kiryat Yam StWd 265078 Sat Oct 22 19:00:00 2016
Kiryat Yam StWd 293878 Sat Oct 22 11:00:00 2016
Kiryat Yam StWd 175177 Sun Oct 23 20:00:00 2016
Kiryat Yam StWd 257878 Sat Oct 22 21:00:00 2016
Kiryat Yam StWd 333427 Sat Oct 22 00:00:00 2016
Kiryat Yam StWd 239977 Sun Oct 23 02:00:00 2016
Kiryat Yam WDD 286678 Sat Oct 22 13:00:00 2016
Kiryat Yam WDD 232777 Sun Oct 23 04:00:00 2016
Kiryat Yam WDD 88829 Mon Oct 24 20:00:00 2016
Kiryat Yam WDD 347827 Fri Oct 21 20:00:00 2016
Kiryat Yam WDD 440686 Thu Oct 20 18:00:00 2016
Kiryat Yam WDD 250678 Sat Oct 22 23:00:00 2016
Kiryat Yam WDD 283078 Sat Oct 22 14:00:00 2016
Kiryat Yam WDD 243478 Sun Oct 23 01:00:00 2016
Kiryat Yam WDD 193177 Sun Oct 23 15:00:00 2016
Kiryat Yam WDD 315478 Sat Oct 22 05:00:00 2016
Kiryat Yam WDD 405427 Fri Oct 21 04:00:00 2016
Kiryat Yam WDD 189577 Sun Oct 23 16:00:00 2016
Kiryat Yam WDD 444286 Thu Oct 20 17:00:00 2016
Kiryat Yam WDD 74429 Tue Oct 25 00:00:00 2016
Kiryat Yam WDD 426286 Thu Oct 20 22:00:00 2016
Kiryat Yam WDD 308278 Sat Oct 22 07:00:00 2016
Kiryat Yam WDD 261478 Sat Oct 22 20:00:00 2016
Kiryat Yam WDD 275878 Sat Oct 22 16:00:00 2016
Kiryat Yam WDD 394627 Fri Oct 21 07:00:00 2016
Kiryat Yam WDD 92429 Mon Oct 24 19:00:00 2016
Kiryat Yam WDD 369427 Fri Oct 21 14:00:00 2016
Kiryat Yam WDD 319078 Sat Oct 22 04:00:00 2016
Kiryat Yam WDD 387427 Fri Oct 21 09:00:00 2016
Kiryat Yam WDD 85229 Mon Oct 24 21:00:00 2016
Kiryat Yam WDD 429886 Thu Oct 20 21:00:00 2016
Kiryat Yam WDD 229177 Sun Oct 23 05:00:00 2016
Kiryat Yam WDD 142829 Mon Oct 24 05:00:00 2016
Kiryat Yam WDD 214777 Sun Oct 23 09:00:00 2016
Kiryat Yam WDD 178777 Sun Oct 23 19:00:00 2016
Kiryat Yam WDD 203977 Sun Oct 23 12:00:00 2016
Kiryat Yam WDD 437086 Thu Oct 20 19:00:00 2016
Kiryat Yam WDD 182377 Sun Oct 23 18:00:00 2016
Kiryat Yam WDD 117629 Mon Oct 24 12:00:00 2016
